nome;ID_SAP;lat;lon;safra;estimativa_financiamento;estimativa_subsidio;uf;regiao;cidade;bairro;preco_cheio;avaliacao;financiamento;subsidio;sub_max_f2;fipezap;vso_medio;vso_avm;renda_bruta_media;renda_media;Bojo;Cauda;dens_demog;rma1;rma2;rmb1;rmb2;rmc1;rmc2;rmd;rme;pcta1;pcta2;pctb1;pctb2;pctc1;pctc2;pctd;pcte;pct_pead;pct_algd;estrategia;ufBA;ufCE;ufGO;ufPE;ufPR;ufRJ;ufRS;ufSP;cidSP;rg1;rg2;rg3;rg4;rg5;capital;aglomerado11;aglomerado21;aglomerado22;aglomerado23;aglomerado_regiao11;aglomerado_regiao12;aglomerado_regiao13;Saúde_ate_3km_influente;Saúde_ate_5km_influente;parada de ônibus_ate_5km_influente;parada de ônibus_maior_5km_influente
rio do ouro;QE80;;;treino;83915,36141;25611,32341;RJ;1;RIO DE JANEIRO;Anchieta;122183,1552;147360;81272,42366;25566,91;29000;2877;55;61;1811,502105;3645,636939;;;13390,47585;0;23470,56579;11963,28737;6401,075159;4090,447388;2250,047008;1254,902472;744,465726;0;0,001403068;0,051584785;0,14741116;0,304453363;0,274490548;0,048833789;0,171591329;0,40180184;0,16306709;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0
esplendor;RK30;;;treino;85490,92876;21205,80342;RJ;1;RIO DE JANEIRO;Bangu;128619,1115;146170,1094;85756,55685;25430,89611;29000;2969;49;60;1955,188931;3654,610261;1728,891411;3322,404324;3043,669315;0;26523,18582;11907,85273;6354,195715;4050,659893;2153,230867;1254,870256;758,2596024;0;0,002975476;0,047470805;0,148578086;0,306843136;0,301718072;0,056062734;0,136344149;0,258864488;0,118277283;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0
convivio sidney;RM00;-23,61934;-46,92966;treino;96940,62308;13765,2333;SP;2;COTIA;RECANTO ARCO VERDE;135018,3153;155855,7505;94335,42386;18326,90918;27420;3129,923077;42;57;2061,695029;4102,978882;1906,042963;3393,965079;2387,567429;84941,13764;24364,5877;12070,99775;6614,30963;4163,314032;2328,825267;1254,874162;700,375835;0,001213552;0,007028943;0,067627474;0,166713361;0,27366896;0,238880916;0,080123207;0,161898763;0,386608141;0,158380315;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0
bela/viva marajoara;RR30;-23,68467;-46,69168;treino;131928,6838;7449,433045;SP;1;SÃO PAULO;JARDIM SABARA;188571,3199;200648,0573;136522,9496;5430,173211;29000;6262,296091;44;53;3498,807016;7483,399161;2234,953516;4100,786735;9314,892689;133560,3593;24152,00721;12698,97663;6809,086596;4162,663058;2325,47467;1254,71603;488,4928009;0,016933595;0,037011698;0,142291246;0,155485614;0,20650297;0,18605234;0,05876754;0,196867423;0,715190392;0,178092591;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;1;0;0;1;1;0;1
mistral;RN40;-23,48647;-46,37656;treino;91598,01913;18738,99318;SP;1;SÃO PAULO;JARDIM DAS OLIVEIRAS;142229,0529;163648,8294;102520,6364;15668,1388;29000;5532,993713;44;53;2217,254482;2957,532099;;;11520,51784;0;21930,65419;11708,33327;6638,748991;4162,561799;2319,980161;1254,818081;606,2833216;0;0,000751595;0,028905642;0,111375282;0,223136455;0,282033514;0,101228694;0,252463937;0,289563105;0,127586541;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;1;0;0;1;1;0;0
casa branca;RN20;-12,92117;-38,45641;treino;88355,33651;12360,85589;BA;4;SALVADOR;Jd. Sto. Inácio;129441,1328;129552,1452;91492,62673;16406,72447;23200;2315;47;34;2118,769868;2587,194113;1851,078487;3262,492619;16603,46854;0;26009,3618;12118,42387;6464,332673;4153,145667;2328,693072;1254,900389;869,4300019;0;0,00020259;0,015204763;0,068856008;0,198479133;0,31724589;0,108198293;0,29180019;0,389225254;0,14338008;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;2;0;1;1;0;0
vila romana;RE90;;;treino;89344,65993;14046,30041;BA;5;CAMAÇARI;Catu de Abrantes;119229,3801;130511,3333;87026,12287;15615,75333;21090;3182,846154;41;50;1978,308767;4678,361315;1744,71434;3444,874634;1243,464323;55529,08706;27160,57825;13431,82884;6683,187939;4094,626169;2328,879786;1254,906372;883,0878408;0,013543186;0,017558567;0,088434248;0,082296521;0,167968653;0,295272351;0,108630412;0,226296062;0,699257897;0,131350369;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0
jardins de guarulhos;QZ50;;;treino;92950,74611;16278,00674;SP;2;GUARULHOS;JARDIM HANNA;139216,4855;154013,4168;101719,534;13439,59839;27420;1755;44;49;2341,745224;3170,149425;1962,368935;3206,503276;5917,550096;0;21928,59462;12077,00557;6667,174237;4163,153513;2328,431408;1254,921428;551,3041513;0;0,002388753;0,032331748;0,129357426;0,237398427;0,270083625;0,097001259;0,228407475;0,354777;0,146695703;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;2;0;0;0;1;1
reserva do tingua;QY70;-22,72541;-43,51283;treino;81153,6503;26448,43566;RJ;2;NOVA IGUAÇU;Cerâmica;122434,003;137767,5439;83060,11553;22863,44846;27420;3542;33;48;1934,427675;2989,065936;1678,202275;3337,203333;4157,436174;0;0;11587,62779;6262,784292;4163,370013;2328,795543;1254,96093;891,4881019;0;0;0,019484484;0,094350951;0,269528675;0,33338041;0,064515212;0,216380736;0,295601292;0,101731884;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0
torres de campinas;RE70;-12,92642;-38,46962;treino;100030,3268;10227,3436;BA;4;SALVADOR;Jd. Sto. Inácio;140610,3612;141949,8896;106740,4975;7476,152318;23200;2315;42;34;2835,84362;2703,389431;2165,079902;3576,030561;18757,62621;0;25048,90459;12208,48428;6463,833142;4153,617156;2328,70109;1254,901568;873,9772664;0;0,000416198;0,018598395;0,077470009;0,207026583;0,314659945;0,101913416;0,279873723;0,433006307;0,152466706;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;2;0;0;0;0;0
